"h","baseline_median","forecast_sd","conditioned_value","scenario_var","scenario_label"
1,24.9919492007788,4.49181753239935,29.4837667331782,"VIX","VIX (US) +1 Forecast SD"
2,23.6293958661225,4.41353522575636,28.0429310918789,"VIX","VIX (US) +1 Forecast SD"
3,23.56938260728,4.40810337584284,27.9774859831228,"VIX","VIX (US) +1 Forecast SD"
4,23.3775979381696,4.48093357567968,27.8585315138493,"VIX","VIX (US) +1 Forecast SD"
5,22.9030253113086,4.48933503221805,27.3923603435266,"VIX","VIX (US) +1 Forecast SD"
6,22.598789180511,4.49654011494028,27.0953292954513,"VIX","VIX (US) +1 Forecast SD"
7,22.2593697562217,4.47023788226684,26.7296076384885,"VIX","VIX (US) +1 Forecast SD"
8,21.9245800034916,4.49133576139038,26.415915764882,"VIX","VIX (US) +1 Forecast SD"
9,21.5451129397607,4.44422020507859,25.9893331448393,"VIX","VIX (US) +1 Forecast SD"
10,21.3121178143654,4.58305980929289,25.8951776236583,"VIX","VIX (US) +1 Forecast SD"
11,20.9868565744179,4.58507854688322,25.5719351213011,"VIX","VIX (US) +1 Forecast SD"
12,20.7163071896489,4.60749102502205,25.323798214671,"VIX","VIX (US) +1 Forecast SD"
13,20.5294754437206,4.64022188686026,25.1696973305808,"VIX","VIX (US) +1 Forecast SD"
14,20.2755481070387,4.61554293612347,24.8910910431622,"VIX","VIX (US) +1 Forecast SD"
15,20.0156909461518,4.62803231043371,24.6437232565855,"VIX","VIX (US) +1 Forecast SD"
16,19.867536090129,4.69354377709276,24.5610798672217,"VIX","VIX (US) +1 Forecast SD"
17,19.5642420837601,4.75071291651609,24.3149550002761,"VIX","VIX (US) +1 Forecast SD"
18,19.3911071145408,4.70516978946365,24.0962769040044,"VIX","VIX (US) +1 Forecast SD"
19,19.2393199282948,4.77548661073289,24.0148065390276,"VIX","VIX (US) +1 Forecast SD"
20,19.0228409589372,4.72378077198926,23.7466217309265,"VIX","VIX (US) +1 Forecast SD"
1,28.8361770710452,4.09958496942839,32.9357620404736,"V2X","V2X (Euro Area) +1 Forecast SD"
2,28.2834265215455,4.05510350596592,32.3385300275114,"V2X","V2X (Euro Area) +1 Forecast SD"
3,27.5214202649303,4.03270279369195,31.5541230586222,"V2X","V2X (Euro Area) +1 Forecast SD"
4,27.5406935487048,4.11918257984497,31.6598761285498,"V2X","V2X (Euro Area) +1 Forecast SD"
5,27.2238030402492,4.14167522663951,31.3654782668887,"V2X","V2X (Euro Area) +1 Forecast SD"
6,27.0011892285193,4.14385181801691,31.1450410465362,"V2X","V2X (Euro Area) +1 Forecast SD"
7,26.7045605291905,4.0898854156223,30.7944459448128,"V2X","V2X (Euro Area) +1 Forecast SD"
8,26.4117909901138,4.16603497213073,30.5778259622445,"V2X","V2X (Euro Area) +1 Forecast SD"
9,26.1284997849981,4.1608247152835,30.2893245002816,"V2X","V2X (Euro Area) +1 Forecast SD"
10,25.9844763998655,4.22154724280376,30.2060236426692,"V2X","V2X (Euro Area) +1 Forecast SD"
11,25.7090154346193,4.24790091572938,29.9569163503487,"V2X","V2X (Euro Area) +1 Forecast SD"
