"h","baseline_median","forecast_sd","conditioned_value","scenario_var","scenario_label"
1,24.9269216366817,4.40053708946604,29.3274587261478,"VIX","VIX (US) +1 Forecast SD"
2,23.7125111931681,4.45066780762087,28.1631790007889,"VIX","VIX (US) +1 Forecast SD"
3,23.5346222533394,4.41456047025568,27.9491827235951,"VIX","VIX (US) +1 Forecast SD"
4,23.3539453007058,4.41770328927392,27.7716485899797,"VIX","VIX (US) +1 Forecast SD"
5,22.8862189332215,4.46561550489611,27.3518344381176,"VIX","VIX (US) +1 Forecast SD"
6,22.58388706646,4.49553201435366,27.0794190808137,"VIX","VIX (US) +1 Forecast SD"
7,22.253754490805,4.44149717789595,26.695251668701,"VIX","VIX (US) +1 Forecast SD"
8,21.8857256074608,4.56132190166525,26.4470475091261,"VIX","VIX (US) +1 Forecast SD"
9,21.5759161362114,4.52221688038276,26.0981330165941,"VIX","VIX (US) +1 Forecast SD"
10,21.3209708962825,4.52703930657754,25.84801020286,"VIX","VIX (US) +1 Forecast SD"
11,21.0229042634023,4.59081734077874,25.613721604181,"VIX","VIX (US) +1 Forecast SD"
12,20.776628096524,4.54540790964979,25.3220360061738,"VIX","VIX (US) +1 Forecast SD"
13,20.5038468976678,4.58119727973225,25.0850441774,"VIX","VIX (US) +1 Forecast SD"
14,20.2190485978909,4.57320787065128,24.7922564685422,"VIX","VIX (US) +1 Forecast SD"
15,20.0560949708188,4.6357901092051,24.6918850800239,"VIX","VIX (US) +1 Forecast SD"
16,19.8538042128117,4.69486983348686,24.5486740462986,"VIX","VIX (US) +1 Forecast SD"
17,19.6149355979574,4.69413842721764,24.309074025175,"VIX","VIX (US) +1 Forecast SD"
18,19.4280158134157,4.77641757392711,24.2044333873428,"VIX","VIX (US) +1 Forecast SD"
19,19.2446272268575,4.78331427654838,24.0279415034059,"VIX","VIX (US) +1 Forecast SD"
20,19.0154533972091,4.74947864331602,23.7649320405251,"VIX","VIX (US) +1 Forecast SD"
1,28.7992354190329,4.07508629759821,32.8743217166311,"V2X","V2X (Euro Area) +1 Forecast SD"
2,28.3002957397733,4.07082279130391,32.3711185310773,"V2X","V2X (Euro Area) +1 Forecast SD"
3,27.5412100367268,4.02331026816357,31.5645203048904,"V2X","V2X (Euro Area) +1 Forecast SD"
4,27.5465180673781,4.11466075715002,31.6611788245281,"V2X","V2X (Euro Area) +1 Forecast SD"
5,27.1955942052209,4.15518789359553,31.3507820988164,"V2X","V2X (Euro Area) +1 Forecast SD"
6,26.9908083269397,4.10141049719342,31.0922188241331,"V2X","V2X (Euro Area) +1 Forecast SD"
7,26.7460054837264,4.12122351554043,30.8672289992668,"V2X","V2X (Euro Area) +1 Forecast SD"
8,26.4069812457348,4.16849162064432,30.5754728663792,"V2X","V2X (Euro Area) +1 Forecast SD"
9,26.1956023579526,4.14936070403817,30.3449630619908,"V2X","V2X (Euro Area) +1 Forecast SD"
10,25.9818686338702,4.2379810021622,30.2198496360324,"V2X","V2X (Euro Area) +1 Forecast SD"
11,25.6952822979421,4.24581323896588,29.941095536908,"V2X","V2X (Euro Area) +1 Forecast SD"
12,25.4754604731635,4.28290070337087,29.7583611765344,"V2X","V2X (Euro Area) +1 Forecast SD"
13,25.2796061696724,4.30048505945632,29.5800912291287,"V2X","V2X (Euro Area) +1 Forecast SD"
14,25.0888003953322,4.24918374574105,29.3379841410732,"V2X","V2X (Euro Area) +1 Forecast SD"
15,24.9524438631312,4.33171272784492,29.2841565909762,"V2X","V2X (Euro Area) +1 Forecast SD"
16,24.8114439793009,4.39189364467946,29.2033376239804,"V2X","V2X (Euro Area) +1 Forecast SD"
17,24.5376645950327,4.39593461987401,28.9335992149067,"V2X","V2X (Euro Area) +1 Forecast SD"
18,24.3609010447431,4.42735767594809,28.7882587206912,"V2X","V2X (Euro Area) +1 Forecast SD"
19,24.2209325437881,4.4568380447467,28.6777705885348,"V2X","V2X (Euro Area) +1 Forecast SD"
20,23.9813531910693,4.41883709604794,28.4001902871172,"V2X","V2X (Euro Area) +1 Forecast SD"
1,22.3611631696315,3.46411366954437,25.8252768391758,"IVIUK","IVIUK (UK) +1 Forecast SD"
2,22.2728329164722,3.45330905246898,25.7261419689412,"IVIUK","IVIUK (UK) +1 Forecast SD"
3,21.7219899200164,3.40523335321456,25.127223273231,"IVIUK","IVIUK (UK) +1 Forecast SD"
4,21.6675095118786,3.49411142757496,25.1616209394536,"IVIUK","IVIUK (UK) +1 Forecast SD"
5,21.4260681756263,3.51061855513676,24.9366867307631,"IVIUK","IVIUK (UK) +1 Forecast SD"
6,21.2930568920857,3.49743032970075,24.7904872217865,"IVIUK","IVIUK (UK) +1 Forecast SD"
7,21.0881068762617,3.48732213602421,24.5754290122859,"IVIUK","IVIUK (UK) +1 Forecast SD"
8,20.860692148509,3.54821096748752,24.4089031159966,"IVIUK","IVIUK (UK) +1 Forecast SD"
9,20.6924499027067,3.55014917682046,24.2425990795272,"IVIUK","IVIUK (UK) +1 Forecast SD"
10,20.4994630632096,3.58547004573541,24.084933108945,"IVIUK","IVIUK (UK) +1 Forecast SD"
11,20.33765143408,3.60119782518428,23.9388492592643,"IVIUK","IVIUK (UK) +1 Forecast SD"
12,20.1066406988145,3.63546333334471,23.7421040321592,"IVIUK","IVIUK (UK) +1 Forecast SD"
13,19.9647322686205,3.64241375204334,23.6071460206638,"IVIUK","IVIUK (UK) +1 Forecast SD"
14,19.8025940085223,3.60468125345372,23.4072752619761,"IVIUK","IVIUK (UK) +1 Forecast SD"
15,19.7100666483156,3.6724589590031,23.3825256073187,"IVIUK","IVIUK (UK) +1 Forecast SD"
16,19.5916257599031,3.70804096432915,23.2996667242322,"IVIUK","IVIUK (UK) +1 Forecast SD"
17,19.3428538689322,3.72271533245247,23.0655692013846,"IVIUK","IVIUK (UK) +1 Forecast SD"
18,19.1988143775262,3.7225489088218,22.921363286348,"IVIUK","IVIUK (UK) +1 Forecast SD"
19,19.080843287816,3.79130963343885,22.8721529212548,"IVIUK","IVIUK (UK) +1 Forecast SD"
20,18.9103381950652,3.75789630485493,22.6682344999201,"IVIUK","IVIUK (UK) +1 Forecast SD"
1,42.4080492708795,3.44835764181446,45.856406912694,"VNKY","VNKY (Japan) +1 Forecast SD"
2,42.7400348511895,3.46553350146216,46.2055683526516,"VNKY","VNKY (Japan) +1 Forecast SD"
3,40.2797073175409,3.46740278531001,43.7471101028509,"VNKY","VNKY (Japan) +1 Forecast SD"
4,40.3121870800644,3.51267205171306,43.8248591317775,"VNKY","VNKY (Japan) +1 Forecast SD"
5,40.0790509243309,3.49957988220934,43.5786308065402,"VNKY","VNKY (Japan) +1 Forecast SD"
6,39.2967260868777,3.54601149171397,42.8427375785917,"VNKY","VNKY (Japan) +1 Forecast SD"
7,38.8878430170298,3.52051647023553,42.4083594872653,"VNKY","VNKY (Japan) +1 Forecast SD"
8,38.1659990811598,3.61479643115264,41.7807955123125,"VNKY","VNKY (Japan) +1 Forecast SD"
9,37.5673064472783,3.57606393422465,41.143370381503,"VNKY","VNKY (Japan) +1 Forecast SD"
10,37.1485441521453,3.64040950288347,40.7889536550288,"VNKY","VNKY (Japan) +1 Forecast SD"
11,36.5902392866215,3.60629068506563,40.1965299716871,"VNKY","VNKY (Japan) +1 Forecast SD"
12,36.131110008255,3.65371653861621,39.7848265468712,"VNKY","VNKY (Japan) +1 Forecast SD"
13,35.676071653088,3.699060511731,39.375132164819,"VNKY","VNKY (Japan) +1 Forecast SD"
14,35.2672310698645,3.70891972813092,38.9761507979954,"VNKY","VNKY (Japan) +1 Forecast SD"
15,34.8078171934547,3.71648486145474,38.5243020549094,"VNKY","VNKY (Japan) +1 Forecast SD"
