"h","baseline_median","forecast_sd","conditioned_value","scenario_var","scenario_label"
1,24.9715282648608,4.38859199922426,29.3601202640851,"VIX","VIX (US) +1 Forecast SD"
2,23.6498301857244,4.39104006701793,28.0408702527423,"VIX","VIX (US) +1 Forecast SD"
3,23.6591390967436,4.41612381173705,28.0752629084807,"VIX","VIX (US) +1 Forecast SD"
4,23.4804990123299,4.38857542517719,27.8690744375071,"VIX","VIX (US) +1 Forecast SD"
5,23.0528286337541,4.37014625970321,27.4229748934573,"VIX","VIX (US) +1 Forecast SD"
6,22.6337733787203,4.43058671974753,27.0643600984679,"VIX","VIX (US) +1 Forecast SD"
7,22.2793345245388,4.49420107860478,26.7735356031435,"VIX","VIX (US) +1 Forecast SD"
8,21.8629910163949,4.46338790816637,26.3263789245613,"VIX","VIX (US) +1 Forecast SD"
9,21.6431855608194,4.53786258568149,26.1810481465009,"VIX","VIX (US) +1 Forecast SD"
10,21.329771774672,4.51048878711321,25.8402605617852,"VIX","VIX (US) +1 Forecast SD"
11,21.0245781988446,4.48879358931292,25.5133717881575,"VIX","VIX (US) +1 Forecast SD"
12,20.7440599160193,4.59787528591039,25.3419352019297,"VIX","VIX (US) +1 Forecast SD"
13,20.4585762103847,4.63384722175088,25.0924234321356,"VIX","VIX (US) +1 Forecast SD"
14,20.2561179225758,4.56090519903274,24.8170231216086,"VIX","VIX (US) +1 Forecast SD"
15,20.0920620617777,4.69921739109645,24.7912794528741,"VIX","VIX (US) +1 Forecast SD"
16,19.8855903445604,4.61729196406157,24.502882308622,"VIX","VIX (US) +1 Forecast SD"
17,19.6386872545998,4.69229653554614,24.330983790146,"VIX","VIX (US) +1 Forecast SD"
18,19.4703596406717,4.70087573015016,24.1712353708219,"VIX","VIX (US) +1 Forecast SD"
19,19.2628867913315,4.7245817787993,23.9874685701308,"VIX","VIX (US) +1 Forecast SD"
20,19.0420859057141,4.70489600924363,23.7469819149578,"VIX","VIX (US) +1 Forecast SD"
1,28.8008578940756,4.02902502293735,32.829882917013,"V2X","V2X (Euro Area) +1 Forecast SD"
2,28.2255964800784,4.02913339327324,32.2547298733516,"V2X","V2X (Euro Area) +1 Forecast SD"
3,27.4949568766749,4.10311444875263,31.5980713254275,"V2X","V2X (Euro Area) +1 Forecast SD"
4,27.6789996106293,4.09102938530128,31.7700289959306,"V2X","V2X (Euro Area) +1 Forecast SD"
5,27.2949017707436,4.05475483426531,31.3496566050089,"V2X","V2X (Euro Area) +1 Forecast SD"
6,27.0208464354894,4.11153619755514,31.1323826330446,"V2X","V2X (Euro Area) +1 Forecast SD"
7,26.7108937277245,4.0750751738924,30.7859689016169,"V2X","V2X (Euro Area) +1 Forecast SD"
8,26.399472621308,4.14176529365243,30.5412379149605,"V2X","V2X (Euro Area) +1 Forecast SD"
9,26.20275976573,4.18620517675974,30.3889649424898,"V2X","V2X (Euro Area) +1 Forecast SD"
10,25.8966337180439,4.17932918695798,30.0759629050018,"V2X","V2X (Euro Area) +1 Forecast SD"
11,25.641468002385,4.20090949208806,29.842377494473,"V2X","V2X (Euro Area) +1 Forecast SD"
12,25.4134790581744,4.24092405188168,29.6544031100561,"V2X","V2X (Euro Area) +1 Forecast SD"
13,25.2413328777357,4.28871397034147,29.5300468480772,"V2X","V2X (Euro Area) +1 Forecast SD"
14,25.0488918999151,4.31093155035687,29.359823450272,"V2X","V2X (Euro Area) +1 Forecast SD"
15,24.9182851364853,4.37745413248893,29.2957392689742,"V2X","V2X (Euro Area) +1 Forecast SD"
16,24.7073592967773,4.33604827524034,29.0434075720177,"V2X","V2X (Euro Area) +1 Forecast SD"
17,24.4855744501728,4.37708946166078,28.8626639118336,"V2X","V2X (Euro Area) +1 Forecast SD"
18,24.3857449688805,4.37069463420256,28.7564396030831,"V2X","V2X (Euro Area) +1 Forecast SD"
19,24.2366473257762,4.38757969149524,28.6242270172714,"V2X","V2X (Euro Area) +1 Forecast SD"
20,24.0083171403405,4.44619366341165,28.4545108037521,"V2X","V2X (Euro Area) +1 Forecast SD"
1,22.3253373269325,3.45176800309254,25.7771053300251,"IVIUK","IVIUK (UK) +1 Forecast SD"
2,22.236407239239,3.39699262566305,25.633399864902,"IVIUK","IVIUK (UK) +1 Forecast SD"
3,21.6371905303856,3.48712535184706,25.1243158822327,"IVIUK","IVIUK (UK) +1 Forecast SD"
4,21.7371564551854,3.47159210072397,25.2087485559094,"IVIUK","IVIUK (UK) +1 Forecast SD"
5,21.4830132056301,3.44653775319864,24.9295509588287,"IVIUK","IVIUK (UK) +1 Forecast SD"
6,21.2813684239468,3.50032404791005,24.7816924718568,"IVIUK","IVIUK (UK) +1 Forecast SD"
7,21.0127048725957,3.46911615783275,24.4818210304284,"IVIUK","IVIUK (UK) +1 Forecast SD"
8,20.7602785752426,3.52671251917795,24.2869910944206,"IVIUK","IVIUK (UK) +1 Forecast SD"
9,20.5995003865291,3.55844104582874,24.1579414323579,"IVIUK","IVIUK (UK) +1 Forecast SD"
